date,week_no,semester,year,start_time,end_time,day,class_code,class_name,instructor,topic,location
10-Sep-22,5,1,2022,8:00,12:00,Saturday,5177009,DATA ENGINEER AND DATA SCIENCE ARCHITECTURE,TBA,Retional Data Warehouse,108
17-Sep-22,6,1,2022,8:00,12:00,Saturday,5177009,DATA ENGINEER AND DATA SCIENCE ARCHITECTURE,TBA,Retional Data Warehouse,108
24-Sep-22,7,1,2022,8:00,12:00,Saturday,5177009,DATA ENGINEER AND DATA SCIENCE ARCHITECTURE,TBA,"ETL, Surrogate Key, Natural Key",108
1-Oct-22,8,1,2022,8:00,12:00,Saturday,5177009,DATA ENGINEER AND DATA SCIENCE ARCHITECTURE,TBA,ETL SQL,108
8-Oct-22,9,1,2022,8:00,12:00,Saturday,5177009,DATA ENGINEER AND DATA SCIENCE ARCHITECTURE,TBA,External Guest,108
15-Oct-22,10,1,2022,8:00,12:00,Saturday,5177009,DATA ENGINEER AND DATA SCIENCE ARCHITECTURE,TBA,External Guest,108
22-Oct-22,11,1,2022,8:00,12:00,Saturday,5177009,DATA ENGINEER AND DATA SCIENCE ARCHITECTURE,TBA,Cloud Solution Guest,108
29-Oct-22,12,1,2022,8:00,12:00,Saturday,5177009,DATA ENGINEER AND DATA SCIENCE ARCHITECTURE,TBA,Cloud Solution Guest,108
5-Nov-22,13,1,2022,8:00,12:00,Saturday,5177009,DATA ENGINEER AND DATA SCIENCE ARCHITECTURE,TBA,Cloud Solution Guest,108
12-Nov-22,14,1,2022,8:00,12:00,Saturday,5177009,DATA ENGINEER AND DATA SCIENCE ARCHITECTURE,TBA,Cloud Solution Guest,108
19-Nov-22,15,1,2022,8:00,12:00,Saturday,5177009,DATA ENGINEER AND DATA SCIENCE ARCHITECTURE,TBA,Cloud Solution Guest,108
7-Aug-22,1,1,2022,13:00,17:00,Sunday,5177003,APPLIED STATISTICAL MODELING AND DATA ANALYTICS,Pornpimol Chaiwuttisak,Introduction,108
14-Aug-22,2,1,2022,13:00,17:00,Sunday,5177003,APPLIED STATISTICAL MODELING AND DATA ANALYTICS,Pornpimol Chaiwuttisak,Probability,108
21-Aug-22,3,1,2022,13:00,17:00,Sunday,5177003,APPLIED STATISTICAL MODELING AND DATA ANALYTICS,TBA,Hypothesis testing and Chi-square Test,108
28-Aug-22,4,1,2022,13:00,17:00,Sunday,5177003,APPLIED STATISTICAL MODELING AND DATA ANALYTICS,TBA,Simple linear regression analysis,108
4-Sep-22,5,1,2022,13:00,17:00,Sunday,5177003,APPLIED STATISTICAL MODELING AND DATA ANALYTICS,TBA,Multiple Linear Regression,108
11-Sep-22,6,1,2022,13:00,17:00,Sunday,5177003,APPLIED STATISTICAL MODELING AND DATA ANALYTICS,TBA,Logistic Regression Analysis,108
18-Sep-22,7,1,2022,13:00,17:00,Sunday,5177003,APPLIED STATISTICAL MODELING AND DATA ANALYTICS,TBA,Multiple Logistic Regression Analysis,108
25-Sep-22,8,1,2022,13:00,17:00,Sunday,5177003,APPLIED STATISTICAL MODELING AND DATA ANALYTICS,TBA,Midterm Exam,108
2-Oct-22,9,1,2022,13:00,17:00,Sunday,5177003,APPLIED STATISTICAL MODELING AND DATA ANALYTICS,TBA,Classification,108
9-Oct-22,10,1,2022,13:00,17:00,Sunday,5177003,APPLIED STATISTICAL MODELING AND DATA ANALYTICS,TBA,Classification,108
16-Oct-22,11,1,2022,13:00,17:00,Sunday,5177003,APPLIED STATISTICAL MODELING AND DATA ANALYTICS,TBA,Classification,108
23-Oct-22,12,1,2022,13:00,17:00,Sunday,5177003,APPLIED STATISTICAL MODELING AND DATA ANALYTICS,TBA,Classification,108
30-Oct-22,13,1,2022,13:00,17:00,Sunday,5177003,APPLIED STATISTICAL MODELING AND DATA ANALYTICS,TBA,Clustering,108
6-Nov-22,14,1,2022,13:00,17:00,Sunday,5177003,APPLIED STATISTICAL MODELING AND DATA ANALYTICS,TBA,Clustering,108
13-Nov-22,15,1,2022,13:00,17:00,Sunday,5177003,APPLIED STATISTICAL MODELING AND DATA ANALYTICS,TBA,Group Project Presentation,108
20-Nov-22,16,1,2022,13:00,17:00,Sunday,5177003,APPLIED STATISTICAL MODELING AND DATA ANALYTICS,TBA,Final Exam,108
