CustomerID,Gender,Married,Age,Graduated,Profession,WorkExperience,SpendingScore,FamilySize,Segmentation
462175,Female,No,36,Yes,Homemaker,9,Low,1,A
467365,Male,No,40,Yes,Artist,1,Low,1,A
461913,Male,No,37,Yes,Entertainment,6,Low,4,A
461079,Female,No,26,No,Engineer,4,Low,1,A
467088,Male,Yes,57,Yes,Artist,0,Low,1,A
467080,Female,Yes,87,Yes,Lawyer,1,High,2,A
463025,Male,Yes,40,No,Executive,7,Low,4,A
465722,Male,Yes,47,No,"",1,Low,5,A
459146,Male,Yes,69,Yes,Artist,1,Low,2,A
465443,Male,Yes,38,Yes,Artist,0,Low,4,A
464737,Female,Yes,58,No,Engineer,0,Average,6,A
461353,Male,Yes,50,Yes,Executive,0,High,4,A
463637,Female,No,30,Yes,Healthcare,0,Low,5,A
464296,Male,No,43,Yes,Doctor,1,Low,4,A
460699,Male,No,28,Yes,Artist,9,Low,1,A
460180,Female,Yes,27,Yes,Marketing,11,Average,2,A
466593,Male,Yes,70,Yes,Lawyer,0,High,3,A
465678,Male,Yes,36,No,Entertainment,1,Low,2,A
459394,Male,No,28,No,Entertainment,9,Low,2,A
460047,Male,No,41,Yes,Entertainment,8,Low,2,A
460378,Female,No,40,Yes,Doctor,1,Low,1,A
460931,Male,Yes,40,Yes,Entertainment,2,Average,5,A
463240,Female,Yes,53,No,Engineer,0,Average,3,A
459698,Male,Yes,60,Yes,Artist,1,Low,2,A
461598,Female,No,27,Yes,Artist,8,Low,1,A
467488,Female,Yes,38,Yes,Entertainment,0,Average,2,A
467195,Male,Yes,27,Yes,Executive,0,High,2,A
467617,Male,Yes,82,Yes,Lawyer,1,Low,1,A
465859,Male,No,47,Yes,Artist,0,Low,1,A
464394,Male,Yes,75,Yes,Lawyer,0,High,2,A
460964,Male,Yes,84,No,Lawyer,1,High,2,A
461975,Female,No,42,Yes,Entertainment,6,Low,2,A
464945,Female,Yes,40,Yes,Artist,1,Average,2,A
461372,Male,No,27,Yes,Artist,3,Low,1,A
460330,Female,No,51,Yes,Entertainment,4,Low,1,A
459362,Male,Yes,55,No,Executive,0,Low,2,A
466128,Male,No,35,Yes,Artist,4,Low,2,A
462474,Female,Yes,25,No,Engineer,1,Average,2,A
462103,Female,Yes,53,No,Entertainment,9,High,2,A
459227,Female,Yes,31,No,Engineer,9,Low,4,A
459163,Male,No,42,Yes,Entertainment,1,Low,1,A
460178,Male,Yes,50,Yes,Entertainment,1,Low,2,A
466343,Male,No,30,Yes,Doctor,0,Low,2,A
461154,Male,No,21,No,Homemaker,0,Low,4,A
462380,Female,Yes,53,No,Artist,1,High,4,A
465336,Female,No,41,Yes,Doctor,9,Low,1,A
462285,Male,Yes,48,Yes,Doctor,0,Low,2,A
463086,Male,No,33,Yes,Artist,8,Low,,A
460598,Female,Yes,35,Yes,Doctor,0,Average,3,A
466482,Female,Yes,39,Yes,Homemaker,0,Average,3,A
464649,Male,Yes,39,No,Entertainment,1,Average,4,A
466298,Male,Yes,45,No,Doctor,0,Low,4,A
459238,Female,Yes,80,Yes,Lawyer,0,High,2,A
461755,Male,No,29,No,Artist,1,Low,3,A
462202,Female,No,43,Yes,Entertainment,1,Low,4,A
461770,Male,Yes,65,Yes,Artist,1,Low,2,A
460780,Female,No,30,Yes,Healthcare,1,Low,2,A
459145,Male,Yes,88,No,Lawyer,0,Low,1,A
467369,Male,No,41,Yes,Artist,2,Low,3,A
464793,Female,Yes,26,No,Marketing,7,High,3,A
460204,Male,Yes,41,Yes,Artist,4,Low,4,A
465416,Male,Yes,55,No,Engineer,1,High,4,A
460710,Female,Yes,38,Yes,Artist,0,Average,3,A
467627,Female,No,45,Yes,Engineer,0,Low,1,A
465413,Female,Yes,41,Yes,Engineer,0,High,3,A
465126,Female,Yes,35,No,Engineer,7,Average,4,A
465950,Female,Yes,52,Yes,Artist,6,Low,2,A
466142,Female,Yes,29,Yes,Entertainment,0,Average,2,A
461992,Female,No,37,Yes,Doctor,1,Low,1,A
459973,Female,No,50,Yes,Artist,0,Low,2,A
460695,Male,Yes,74,Yes,Lawyer,1,Low,1,A
465606,Male,Yes,37,Yes,Engineer,1,Average,3,A
460049,Male,Yes,43,Yes,Entertainment,0,Average,2,A
465082,Male,Yes,67,Yes,Lawyer,0,Low,1,A
462033,Male,No,32,Yes,Entertainment,1,Low,1,A
460148,Female,Yes,73,No,Engineer,1,Low,,A
464655,Male,Yes,39,Yes,"",0,Average,5,A
462827,Female,No,22,No,Doctor,1,Low,3,A
461553,Male,No,39,Yes,Artist,1,Low,3,A
467912,Male,Yes,61,Yes,Entertainment,1,Low,2,A
459807,Male,Yes,81,Yes,Lawyer,1,Low,1,A
462686,Male,Yes,41,Yes,Entertainment,9,Average,4,A
460275,Female,No,52,Yes,Artist,6,Low,1,A
466474,Male,No,29,Yes,Entertainment,6,Low,3,A
461711,Female,No,35,Yes,Artist,8,Low,3,A
466344,Male,No,43,Yes,Entertainment,0,Low,2,A
460423,Female,Yes,53,Yes,Artist,3,Low,1,A
463049,Male,Yes,51,No,Executive,2,High,5,A
462407,Male,Yes,37,No,Doctor,2,Average,4,A
459450,Male,Yes,55,Yes,Artist,4,Average,4,A
463255,Male,No,42,Yes,Entertainment,3,Low,2,A
465761,Female,No,42,Yes,Artist,12,Low,2,A
465841,Female,No,52,Yes,Engineer,3,Low,1,A
460403,Female,No,56,Yes,Doctor,3,Low,1,A
460624,Male,Yes,57,Yes,Homemaker,5,High,2,A
464320,Male,Yes,74,No,Lawyer,0,High,2,A
464195,Male,No,29,Yes,Artist,0,Low,1,A
466792,Female,Yes,82,No,Lawyer,0,Low,1,A
459875,Male,Yes,71,No,Lawyer,0,High,,A
466665,Male,Yes,42,Yes,Artist,0,Average,2,A
464926,Female,Yes,46,No,Engineer,0,High,3,A
464266,Male,No,28,No,Doctor,8,Low,3,A
467698,Female,Yes,40,No,Artist,3,Average,,A
460313,Male,No,32,Yes,Artist,13,Low,3,A
465497,Male,No,25,No,Homemaker,14,Low,3,A
465846,Female,No,40,Yes,Artist,5,Low,1,A
467967,Male,No,30,Yes,Entertainment,8,Low,4,A
462361,Male,Yes,60,Yes,Artist,0,Low,2,A
459422,Male,Yes,50,Yes,Entertainment,0,Low,4,A
464016,Female,"",29,Yes,Entertainment,0,High,1,A
464365,Male,No,35,Yes,Artist,0,Low,1,A
467057,Female,No,50,No,Entertainment,8,Low,2,A
464210,Male,No,43,Yes,Marketing,0,Low,2,A
464817,Male,No,31,Yes,Artist,7,Low,1,A
465694,Male,Yes,37,Yes,Healthcare,1,Average,2,A
466456,Female,Yes,43,No,Doctor,9,Low,1,A
462372,Female,Yes,65,No,Lawyer,0,High,2,A
465849,Female,No,32,Yes,Doctor,5,Low,3,A
464754,Female,Yes,43,No,Engineer,4,Average,7,A
463259,Male,Yes,75,Yes,Lawyer,0,Low,1,A
462431,Male,No,32,No,Entertainment,9,Low,4,A
466010,Female,Yes,69,No,Doctor,0,Low,1,A
465674,Female,No,39,Yes,Entertainment,1,Low,2,A
459405,Female,Yes,81,No,Doctor,0,High,2,A
467056,Female,No,31,No,Homemaker,8,Low,1,A
467398,Male,Yes,37,No,Entertainment,1,Low,2,A
465427,Male,No,33,Yes,Artist,7,Low,1,A
462467,Female,Yes,45,No,Doctor,1,Low,1,A
463175,Female,"",40,No,Engineer,1,Low,4,A
465962,Male,Yes,33,Yes,Healthcare,0,Low,2,A
463280,Male,Yes,37,Yes,Artist,6,Average,2,A
459587,Female,No,32,Yes,Artist,7,Low,3,A
461452,Female,No,31,Yes,Doctor,0,Low,4,A
460797,Male,Yes,47,Yes,Artist,4,Low,1,A
463488,Female,No,29,No,Engineer,9,Low,4,A
465872,Female,No,33,Yes,Engineer,10,Low,1,A
464272,Male,No,30,Yes,Artist,9,Low,2,A
459628,Female,Yes,51,Yes,Engineer,0,Low,1,A
460443,Female,No,38,Yes,Doctor,0,Low,1,A
460094,Female,No,39,Yes,Artist,0,Low,1,A
467516,Female,Yes,31,No,Artist,0,High,3,A
461556,Female,Yes,49,Yes,Engineer,1,Average,2,A
460660,Male,No,41,"",Entertainment,6,Low,1,A
466787,Female,Yes,33,Yes,Doctor,0,Low,2,A
466742,Male,Yes,45,No,Doctor,8,Low,2,A
465930,Female,No,36,Yes,Artist,9,Low,2,A
466725,Female,Yes,89,No,Lawyer,0,High,2,A
463218,Male,Yes,42,No,Entertainment,9,Average,3,A
461148,Male,"",37,Yes,Artist,1,Average,3,A
462568,Male,Yes,51,Yes,Doctor,0,Low,3,A
462635,Male,Yes,42,No,Engineer,5,Average,4,A
467605,Female,Yes,40,Yes,Engineer,1,Average,7,A
466155,Male,Yes,40,Yes,Entertainment,1,Average,2,A
467176,Male,No,27,No,Healthcare,1,Low,3,A
466454,Male,No,33,Yes,Entertainment,1,Low,1,A
465463,Female,No,28,No,Doctor,0,Low,5,A
464501,Female,No,25,No,Healthcare,1,Low,3,A
460659,Female,Yes,47,Yes,Marketing,0,Average,3,A
467083,Female,Yes,88,Yes,Lawyer,1,High,2,A
467675,Female,No,39,No,"",0,Low,1,A
461847,Male,Yes,41,No,Entertainment,0,Low,4,A
459982,Male,No,39,Yes,Entertainment,9,Low,2,A
463316,Female,Yes,89,No,Lawyer,0,High,2,A
466758,Male,Yes,45,Yes,Doctor,0,Low,1,A
462108,Female,Yes,27,Yes,Homemaker,0,Average,2,A
459288,Male,Yes,41,Yes,Artist,1,Low,2,A
460050,Male,Yes,50,Yes,Entertainment,3,Low,2,A
464903,Male,Yes,28,No,Entertainment,0,Average,2,A
463165,Female,Yes,72,Yes,Doctor,1,Average,2,A
460419,Female,Yes,41,No,Doctor,0,Low,1,A
465981,Male,No,28,No,Artist,0,Low,2,A
466569,Female,No,20,No,Doctor,9,Low,4,A
461642,Male,No,41,Yes,Artist,9,Low,2,A
464764,Female,Yes,60,No,Engineer,1,High,9,A
463686,Female,No,32,No,Artist,2,Low,4,A
459411,Male,Yes,74,No,Lawyer,8,Low,1,A
463774,Male,Yes,29,Yes,Healthcare,1,Average,2,A
459483,Male,Yes,55,Yes,Artist,1,Average,2,A
463024,Male,No,35,Yes,Artist,0,Low,1,A
466432,Male,No,42,Yes,Entertainment,1,Low,1,A
463621,Male,Yes,53,No,Entertainment,1,Low,1,A
464865,Female,No,30,No,Homemaker,8,Low,9,A
465517,Female,Yes,68,Yes,Artist,1,Low,2,A
459237,Male,No,29,Yes,Artist,1,Low,6,A
461531,Male,No,41,Yes,Artist,4,Low,1,A
464566,Male,Yes,35,Yes,Executive,0,High,4,A
466254,Male,No,40,Yes,Entertainment,0,Low,2,A
465876,Male,No,25,No,Executive,0,Low,3,A
464199,Male,Yes,25,Yes,Artist,8,Low,2,A
459957,Female,Yes,32,Yes,Artist,8,Low,3,A
466570,Female,Yes,40,Yes,Artist,0,Average,3,A
459407,Female,No,37,Yes,Doctor,0,Low,3,A
467456,Male,Yes,36,No,Executive,7,High,4,A
467130,Female,Yes,29,No,Homemaker,0,High,3,A
459961,Male,Yes,51,Yes,Artist,8,Low,3,A
461543,Male,No,31,No,Artist,3,Low,2,A
459864,Female,Yes,70,No,Artist,0,High,2,A
465098,Female,No,41,Yes,Artist,1,Low,,A
459872,Male,Yes,68,No,Entertainment,4,Average,2,A
465079,Male,Yes,75,Yes,Lawyer,1,Low,1,A
467697,Female,No,39,Yes,Healthcare,0,Low,1,A
462653,Male,Yes,48,Yes,Executive,0,Average,4,A
463684,Female,No,29,Yes,Healthcare,0,Low,4,A
465677,Male,Yes,39,No,Artist,0,Low,2,A
462159,Male,No,43,Yes,Doctor,1,Low,,A
465940,Female,No,53,Yes,Artist,0,Low,2,A
464323,Female,No,29,Yes,Artist,12,Low,1,A
463161,Male,No,35,Yes,Artist,1,Low,2,A
462120,Male,Yes,51,No,Artist,1,Low,3,A
466695,Female,Yes,31,Yes,Entertainment,1,Low,1,A
465833,Male,Yes,43,No,Executive,1,High,3,A
459765,Female,No,35,Yes,Engineer,4,Low,1,A
464561,Female,No,48,Yes,Entertainment,9,Low,2,A
464079,Female,Yes,36,No,Doctor,14,Average,2,A
462478,Male,Yes,30,No,Doctor,0,Average,2,A
459252,Male,Yes,66,Yes,Lawyer,0,High,3,A
459682,Male,Yes,35,Yes,Executive,0,Average,3,A
459892,Female,Yes,50,Yes,Artist,1,Low,1,A
467720,Male,No,27,Yes,Entertainment,0,Low,2,A
459486,Male,Yes,75,Yes,Lawyer,0,High,2,A
467319,Male,No,26,Yes,Homemaker,8,Low,2,A
467219,Female,Yes,66,No,Lawyer,0,High,2,A
464575,Male,No,42,Yes,Artist,8,Low,1,A
465650,Female,No,32,No,Marketing,0,Low,4,A
464640,Female,No,28,No,Marketing,0,Low,5,A
463927,Female,No,53,Yes,Engineer,1,Low,2,A
459506,Female,No,27,Yes,"",1,Low,1,A
464178,Male,No,29,Yes,Doctor,3,Low,3,A
461764,Female,No,41,Yes,Artist,0,Low,1,A
459548,Female,Yes,50,Yes,Engineer,1,Low,2,A
460581,Male,Yes,27,Yes,Healthcare,2,Average,2,A
459501,Female,Yes,62,Yes,Artist,4,Average,7,A
460678,Female,No,31,No,Doctor,6,Low,2,A
459490,Male,Yes,37,No,Engineer,0,Average,2,A
463653,Female,No,26,Yes,Artist,1,Low,5,A
467858,Male,Yes,59,Yes,Artist,0,Low,4,A
460596,Male,No,29,No,Engineer,0,Low,5,A
464672,Male,No,19,No,Entertainment,0,Low,6,A
466529,Female,Yes,28,Yes,Doctor,0,Average,2,A
464802,Male,No,40,No,Entertainment,1,Low,1,A
467643,Male,No,42,Yes,Artist,12,Low,1,A
465391,Female,Yes,72,Yes,Lawyer,0,High,2,A
459254,Male,Yes,57,Yes,Doctor,0,Low,1,A
467902,Female,No,37,No,Artist,0,Low,1,A
460591,Female,Yes,38,Yes,Doctor,1,Low,4,A
460090,Male,Yes,86,No,Lawyer,2,Average,2,A
464630,Female,Yes,52,No,Engineer,0,Low,6,A
464376,Male,Yes,58,Yes,Artist,2,Low,1,A
461783,Male,"",72,"",Lawyer,0,High,,A
463094,Male,Yes,40,Yes,Engineer,12,Average,3,A
462657,Male,Yes,35,Yes,Executive,1,Average,2,A
460080,Female,No,39,Yes,Doctor,9,Low,3,A
460896,Male,No,43,Yes,Artist,0,Low,1,A
460804,Female,No,30,Yes,Artist,0,Low,5,A
465880,Female,No,46,Yes,Entertainment,1,Low,2,A
461098,Female,Yes,39,Yes,Engineer,1,Low,1,A
466729,Male,No,33,Yes,Healthcare,1,Low,,A
462608,Female,No,71,No,Engineer,1,Low,1,A
465495,Male,Yes,29,Yes,Engineer,5,Low,2,A
467345,Male,Yes,76,Yes,Lawyer,1,Low,1,A
459697,Female,Yes,77,No,Lawyer,0,High,3,A
461277,Male,Yes,82,Yes,Lawyer,7,Low,1,A
467064,Male,Yes,36,No,Doctor,0,Average,2,A
467856,Male,Yes,59,Yes,Artist,1,Low,2,A
465372,Female,No,37,Yes,Entertainment,0,Low,1,A
461617,Male,No,45,Yes,Artist,0,Low,2,A
459565,Male,No,47,Yes,Entertainment,2,Low,,A
459690,Female,No,43,Yes,Artist,1,Low,1,A
465766,Male,Yes,38,No,Entertainment,1,Low,3,A
461814,Female,No,37,Yes,Artist,1,Low,1,A
463428,Male,Yes,28,No,Executive,1,High,5,A
459671,Female,Yes,48,Yes,Artist,0,Average,3,A
463247,Male,No,45,Yes,Entertainment,1,Low,1,A
460771,Male,Yes,86,Yes,Artist,0,Low,,A
464502,Male,Yes,35,Yes,Healthcare,6,Average,2,A
461407,Female,No,32,Yes,Marketing,8,Low,6,A
459389,Female,No,26,Yes,Engineer,9,Low,8,A
459857,Male,No,33,Yes,Entertainment,6,Low,1,A
459519,Female,Yes,45,Yes,Artist,0,Average,2,A
466399,Female,Yes,26,No,Entertainment,1,Average,2,A
465603,Female,Yes,45,Yes,Homemaker,8,Low,,A
466079,Female,Yes,40,No,Engineer,1,Low,2,A
465104,Male,Yes,35,Yes,Homemaker,9,Average,4,A
463561,Female,No,39,Yes,Engineer,1,Low,1,A
466424,Female,Yes,42,Yes,Engineer,1,High,3,A
459937,Female,No,39,Yes,Artist,7,Low,1,A
466404,Female,No,40,Yes,Engineer,0,Low,1,A
459944,Female,Yes,39,Yes,Artist,0,Low,1,A
463032,Female,Yes,78,No,Lawyer,0,High,2,A
466769,Female,No,31,Yes,Entertainment,0,Low,4,A
464616,Male,Yes,27,No,Entertainment,6,Low,4,A
464966,Male,Yes,59,No,Engineer,1,Low,2,A
466965,Female,No,42,Yes,Homemaker,0,Low,1,A
466401,Male,Yes,48,No,Executive,1,Average,4,A
464725,Male,Yes,45,No,Executive,11,High,9,A
465888,Male,Yes,37,Yes,Doctor,8,Average,2,A
461261,Female,No,29,No,Artist,0,Low,3,A
462203,Male,Yes,72,No,Executive,2,High,7,A
460000,Male,No,52,Yes,Entertainment,1,Low,1,A
460122,Female,No,41,No,Artist,0,Low,1,A
460676,Female,Yes,51,Yes,Marketing,9,Average,1,A
463179,Male,Yes,57,Yes,Entertainment,0,Low,2,A
461137,Male,Yes,60,Yes,Entertainment,0,Low,4,A
460772,Male,Yes,70,No,Entertainment,1,Low,1,A
465702,Male,No,32,Yes,Entertainment,1,Low,1,A
460906,Female,Yes,89,Yes,Lawyer,1,High,3,A
459085,Male,No,22,No,Marketing,4,Low,3,A
464612,Male,No,32,Yes,Doctor,1,Low,2,A
465424,Male,No,38,Yes,Entertainment,1,Low,3,A
463230,Female,Yes,35,Yes,Engineer,5,High,3,A
465018,Male,No,42,Yes,Entertainment,0,Low,3,A
464940,Female,Yes,30,No,Engineer,1,Low,2,A
459652,Female,No,26,No,Engineer,0,Low,4,A
461881,Male,No,40,Yes,Artist,1,Low,1,A
466031,Female,No,30,No,Entertainment,6,Low,1,A
467039,Male,Yes,26,No,Homemaker,9,Average,2,A
464808,Male,Yes,42,No,Entertainment,1,Low,4,A
465583,Male,No,35,Yes,Artist,2,Low,2,A
464072,Male,Yes,49,Yes,Executive,1,Low,2,A
464245,Female,Yes,89,Yes,Lawyer,2,Low,1,A
459059,Male,Yes,87,No,Executive,0,High,2,A
459289,Male,No,39,Yes,Doctor,1,Low,1,A
465806,Female,No,26,Yes,Marketing,0,Low,2,A
463534,Female,No,31,Yes,Engineer,1,Low,4,A
464269,Male,No,37,Yes,Entertainment,0,Low,,A
466510,Male,No,51,Yes,Artist,6,Low,1,A
464299,Female,No,35,Yes,Artist,12,Low,3,A
462133,Female,Yes,46,Yes,Doctor,9,High,3,A
460848,Male,Yes,53,No,Entertainment,10,Average,3,A
462009,Female,Yes,32,Yes,Healthcare,8,High,2,A
463199,Female,Yes,52,Yes,Artist,1,Low,3,A
466059,Male,Yes,25,No,Entertainment,1,Average,2,A
463104,Female,Yes,47,No,Lawyer,0,Low,1,A
459990,Male,Yes,37,Yes,Healthcare,1,Average,2,A
459533,Female,No,41,Yes,Artist,1,Low,1,A
459197,Female,Yes,39,Yes,"",0,Average,2,A
464357,Male,No,40,Yes,Artist,7,Low,1,A
459363,Male,No,53,Yes,Artist,2,Low,1,A
464341,Male,No,35,Yes,Artist,2,Low,2,A
466843,Female,No,38,No,Homemaker,13,Low,,A
464402,Male,No,37,Yes,Entertainment,7,Low,1,A
464536,Male,Yes,28,Yes,Artist,0,Average,3,A
459787,Male,Yes,71,No,Lawyer,0,Low,1,A
467625,Female,Yes,40,Yes,Artist,0,Average,2,A
465472,Female,Yes,87,No,Entertainment,0,High,3,A
463141,Male,Yes,60,Yes,Artist,0,Low,1,A
461777,Female,Yes,74,Yes,Lawyer,1,High,2,A
459609,Female,No,43,Yes,Artist,1,Low,1,A
462257,Female,Yes,81,Yes,Lawyer,0,High,2,A
465085,Male,Yes,83,Yes,Lawyer,0,High,2,A
467535,Male,Yes,65,Yes,Lawyer,1,High,2,A
465892,Male,No,40,Yes,Artist,9,Low,3,A
463318,Male,Yes,65,Yes,Lawyer,0,Low,2,A
463502,Male,Yes,40,Yes,Executive,0,High,4,A
466651,Male,No,40,No,Entertainment,5,Low,1,A
467439,Male,Yes,37,Yes,Entertainment,1,Low,4,A
463217,Female,Yes,33,Yes,Healthcare,2,High,1,A
466380,Male,Yes,36,Yes,Entertainment,5,Low,2,A
460453,Female,No,40,Yes,Doctor,7,Low,1,A
466485,Male,Yes,37,Yes,Executive,9,High,2,A
467445,Male,Yes,31,No,Doctor,8,Low,2,A
463500,Male,Yes,35,Yes,Executive,0,High,4,A
460768,Female,No,32,No,Engineer,9,Low,4,A
460146,Female,Yes,52,Yes,Engineer,1,Average,3,A
467454,Male,Yes,49,Yes,Artist,1,Low,1,A
465129,Female,No,61,Yes,Entertainment,3,Low,1,A
460071,Female,No,53,Yes,Engineer,1,Low,1,A
460008,Male,No,25,No,Doctor,9,Low,4,A
463503,Male,Yes,33,Yes,Entertainment,1,Low,2,A
462632,Female,Yes,37,No,Engineer,0,Average,4,A
460404,Male,Yes,38,Yes,Artist,5,Low,7,A
464751,Male,Yes,36,No,Doctor,0,Low,1,A
460165,Female,No,40,Yes,Entertainment,0,Low,1,A
461678,Female,Yes,87,No,Lawyer,1,Low,1,A
465096,Male,Yes,86,No,Lawyer,13,Low,1,A
465590,Male,Yes,40,Yes,Artist,1,Average,5,A
459240,Female,No,28,Yes,Artist,1,Low,1,A
464218,Female,Yes,89,No,Lawyer,1,High,2,A
467556,Female,No,40,Yes,Healthcare,0,Low,1,A
465955,Male,No,25,Yes,Marketing,8,Low,3,A
460033,Female,"",46,Yes,Entertainment,6,Low,3,A
467849,Female,Yes,40,Yes,Doctor,0,Low,1,A
466873,Male,Yes,39,Yes,Healthcare,7,Average,5,A
462581,Female,No,28,No,Engineer,1,Low,4,A
464794,Female,Yes,47,No,Engineer,8,Average,,A
460164,Male,Yes,66,No,Engineer,1,Low,2,A
462038,Male,No,31,Yes,Artist,4,Low,4,A
463341,Female,Yes,48,No,Engineer,1,Average,6,A
459575,Male,No,35,Yes,Artist,0,Low,1,A
462226,Male,Yes,26,No,Artist,7,Low,4,A
461274,Female,Yes,74,Yes,Lawyer,0,High,2,A
463526,Male,No,41,Yes,Doctor,0,Low,1,A
462604,Female,Yes,38,No,Doctor,1,Average,3,A
464745,Male,"",60,No,Engineer,0,Average,3,A
463619,Male,Yes,70,No,Executive,1,High,2,A
461911,Male,Yes,57,No,Executive,0,Low,1,A
462010,Female,No,31,Yes,Artist,14,Low,3,A
461371,Male,Yes,37,Yes,Doctor,0,Average,2,A
462658,Female,Yes,25,Yes,Homemaker,9,Average,2,A
463192,Female,Yes,46,No,Entertainment,4,Average,,A
463801,Female,No,30,No,Engineer,0,Low,1,A
460651,Male,No,32,No,Homemaker,8,Low,,A
460296,Female,Yes,60,Yes,Artist,1,Low,2,A
463121,Female,Yes,70,"",Lawyer,0,High,,A
460379,Male,No,35,Yes,Artist,9,Low,3,A
460415,Female,No,59,Yes,Entertainment,1,Low,2,A
459432,Male,Yes,84,Yes,Lawyer,0,Low,3,A
467141,Male,Yes,50,Yes,Artist,1,Low,3,A
466933,Female,Yes,52,No,Engineer,0,Low,,A
461415,Male,No,48,Yes,Entertainment,0,Low,3,A
465279,Male,Yes,53,Yes,Healthcare,0,High,4,A
463782,Female,No,29,Yes,Artist,8,Low,1,A
465489,Female,No,50,Yes,Engineer,1,Low,5,A
459753,Male,Yes,40,Yes,Marketing,0,Average,2,A
465965,Female,Yes,41,No,Marketing,8,Low,2,A
